ticker,diversity_mention_count_2021,theme_workforce_dei_2021,dei_qual_num_2021,diversity_mention_count_2024,theme_workforce_dei_2024,dei_qual_num_2024,prior_gap_2021_22,delta_diversity_mentions,delta_workforce_dei,delta_dei_quality,delta_diversity_mentions_z,delta_workforce_dei_z,delta_dei_quality_z,retreat_composite,prior_category
AMZN,5,1,2,1,0,0,48.39426877470356,-4,-1,-2,-0.09432533221053206,-1.120224067222408,-2.2218729487753306,-1.1454741160694235,STEALTH
BKNG,2,0,0,2,0,0,0.9387351778656132,0,0,0,0.04452155680337113,0.4900980294098035,0.432832392618571,0.3224839929439152,ALIGNED
HD,20,1,1,1,1,0,-9.090909090909093,-19,0,-1,-0.6150011660126691,0.4900980294098035,-0.89452027807838,-0.3398078048937485,ALIGNED
LOW,6,1,0,0,0,0,12.62351778656126,-6,-1,0,-0.16374877671748367,-1.120224067222408,0.432832392618571,-0.28371348377377353,ALIGNED
MCD,5,1,1,7,1,1,44.31818181818181,2,0,0,0.11394500131032273,0.4900980294098035,0.432832392618571,0.34562514111289905,STEALTH
NKE,13,0,2,8,0,1,-1.4328063241106754,-5,0,-1,-0.12903705446400787,0.4900980294098035,-0.89452027807838,-0.17781976771086141,ALIGNED
ORLY,5,0,0,0,0,0,2.495059288537548,-5,0,0,-0.12903705446400787,0.4900980294098035,0.432832392618571,0.26463112252145554,ALIGNED
TJX,14,1,2,0,0,0,7.608695652173907,-14,-1,-2,-0.44144255474529004,-1.120224067222408,-2.2218729487753306,-1.2611798569143429,ALIGNED
TSLA,0,1,0,0,0,0,1.2598814229248951,0,-1,0,0.04452155680337113,-1.120224067222408,0.432832392618571,-0.2142900392668219,ALIGNED
COP,6,0,1,0,0,0,35.869565217391305,-6,0,-1,-0.16374877671748367,0.4900980294098035,-0.89452027807838,-0.18939034179535338,STEALTH
CVX,2,1,0,0,0,0,46.76383399209486,-2,-1,0,-0.024901887703580466,-1.120224067222408,0.432832392618571,-0.23743118743580582,STEALTH
EOG,1,0,0,1,0,0,-16.724308300395254,0,0,0,0.04452155680337113,0.4900980294098035,0.432832392618571,0.3224839929439152,GREENWASH-RISK
HES,0,1,0,0,0,0,62.648221343873516,0,-1,0,0.04452155680337113,-1.120224067222408,0.432832392618571,-0.2142900392668219,STEALTH
MPC,3,1,1,0,0,0,45.57806324110672,-3,-1,-1,-0.059613609957056266,-1.120224067222408,-0.89452027807838,-0.6914526517526148,STEALTH
OXY,8,1,0,0,0,0,8.473320158102762,-8,-1,0,-0.23317222122443526,-1.120224067222408,0.432832392618571,-0.30685463194275747,ALIGNED
PSX,96,0,0,0,0,0,-29.76778656126482,-96,0,0,-3.2878037795303054,0.4900980294098035,0.432832392618571,-0.7882911191673103,GREENWASH-RISK
SLB,0,0,0,0,1,2,-24.23418972332016,0,1,2,0.04452155680337113,2.100420126042015,3.087537734012473,1.744159805619286,GREENWASH-RISK
VLO,0,0,0,2,0,0,20.45454545454545,2,0,0,0.11394500131032273,0.4900980294098035,0.432832392618571,0.34562514111289905,STEALTH
AXP,7,1,1,1,1,0,35.25197628458498,-6,0,-1,-0.16374877671748367,0.4900980294098035,-0.89452027807838,-0.18939034179535338,STEALTH
BAC,5,1,0,2,0,0,-66.15612648221344,-3,-1,0,-0.059613609957056266,-1.120224067222408,0.432832392618571,-0.24900176152029777,GREENWASH-RISK
BLK,1,0,0,0,0,0,-41.37845849802372,-1,0,0,0.009809834549895332,0.4900980294098035,0.432832392618571,0.3109134188594233,GREENWASH-RISK
BRK-B,14,1,0,0,0,0,70.25691699604742,-14,-1,0,-0.44144255474529004,-1.120224067222408,0.432832392618571,-0.37627807644970906,STEALTH
C,1,1,1,1,0,0,-26.037549407114625,0,-1,-1,0.04452155680337113,-1.120224067222408,-0.89452027807838,-0.656740929499139,GREENWASH-RISK
GS,2,0,0,3,0,0,6.151185770750988,1,0,0,0.07923327905684693,0.4900980294098035,0.432832392618571,0.33405456702840713,ALIGNED
JPM,0,0,0,5,1,0,-19.491106719367593,5,1,0,0.21808016807075012,2.100420126042015,0.432832392618571,0.917110895577112,GREENWASH-RISK
MS,0,0,0,0,0,0,-30.978260869565222,0,0,0,0.04452155680337113,0.4900980294098035,0.432832392618571,0.3224839929439152,GREENWASH-RISK
SPGI,6,0,1,3,0,1,-5.360671936758891,-3,0,0,-0.059613609957056266,0.4900980294098035,0.432832392618571,0.28777227069043937,ALIGNED
WFC,11,1,1,4,1,0,4.940711462450587,-7,0,-1,-0.19846049897095946,0.4900980294098035,-0.89452027807838,-0.20096091587984533,ALIGNED
ABBV,0,1,2,12,1,1,43.08300395256917,12,0,-1,0.4610622238450807,0.4900980294098035,-0.89452027807838,0.018879991725501404,STEALTH
ABT,22,1,1,7,1,1,25.617588932806324,-15,0,0,-0.47615427699876584,0.4900980294098035,0.432832392618571,0.1489253816765362,STEALTH
AMGN,0,0,0,10,1,1,-17.71245059288538,10,1,1,0.39163877933812913,2.100420126042015,1.760185063315522,1.4174146562318886,GREENWASH-RISK
DHR,0,1,1,3,1,0,-23.666007905138343,3,0,-1,0.14865672356379853,0.4900980294098035,-0.89452027807838,-0.08525517503492597,GREENWASH-RISK
JNJ,6,1,0,4,1,1,-10.400197628458498,-2,0,1,-0.024901887703580466,0.4900980294098035,1.760185063315522,0.7417937350072483,ALIGNED
MRK,0,0,1,0,0,0,-40.21739130434783,0,0,-1,0.04452155680337113,0.4900980294098035,-0.89452027807838,-0.11996689728840178,GREENWASH-RISK
PFE,1,0,0,0,0,0,-31.694664031620558,-1,0,0,0.009809834549895332,0.4900980294098035,0.432832392618571,0.3109134188594233,GREENWASH-RISK
TMO,3,1,1,1,0,0,48.54249011857707,-2,-1,-1,-0.024901887703580466,-1.120224067222408,-0.89452027807838,-0.6798820776681228,STEALTH
UNH,0,1,1,0,0,0,-7.3616600790513855,0,-1,-1,0.04452155680337113,-1.120224067222408,-0.89452027807838,-0.656740929499139,ALIGNED
ACN,4,1,0,0,0,0,-67.34189723320159,-4,-1,0,-0.09432533221053206,-1.120224067222408,0.432832392618571,-0.26057233560478965,GREENWASH-RISK
ADBE,1,1,0,1,0,0,-13.759881422924902,0,-1,0,0.04452155680337113,-1.120224067222408,0.432832392618571,-0.2142900392668219,ALIGNED
AMD,3,0,0,2,0,0,-35.57312252964428,-1,0,0,0.009809834549895332,0.4900980294098035,0.432832392618571,0.3109134188594233,GREENWASH-RISK
AVGO,0,0,0,3,1,0,25.0,3,1,0,0.14865672356379853,2.100420126042015,0.432832392618571,0.8939697474081281,STEALTH
CRM,0,0,0,2,0,0,-18.799407114624504,2,0,0,0.11394500131032273,0.4900980294098035,0.432832392618571,0.34562514111289905,GREENWASH-RISK
INTU,18,1,2,0,0,0,20.108695652173914,-18,-1,-2,-0.5802894437591933,-1.120224067222408,-2.2218729487753306,-1.3074621532523107,STEALTH
MSFT,7,1,1,2,0,0,-31.373517786561262,-5,-1,-1,-0.12903705446400787,-1.120224067222408,-0.89452027807838,-0.7145937999215985,GREENWASH-RISK
NVDA,1,0,0,165,0,0,0.2717391304347849,164,0,0,5.737244006373403,0.4900980294098035,0.432832392618571,2.220058142800592,ALIGNED
ORCL,15,1,1,2,0,1,14.105731225296443,-13,-1,0,-0.40673083249181424,-1.120224067222408,0.432832392618571,-0.3647075023652171,ALIGNED
